time,antenna,motusTagID,rssi
2021-09-26 19:53:51,1,57952,-100
2021-09-26 19:53:52,1,57952,-100
2021-09-26 19:53:53,1,57952,-102
2021-09-26 19:53:55,1,57952,-99
2021-09-26 19:53:56,1,57952,-98
2021-09-26 19:53:58,1,57952,-95
2021-09-26 19:53:59,1,57952,-101
2021-09-26 19:54:00,1,57952,-91
2021-09-26 19:54:01,1,57952,-97
2021-09-26 19:54:03,1,57952,-99
2021-09-26 19:54:04,1,57952,-103
2021-09-26 19:54:05,1,57952,-102
2021-09-26 19:54:07,1,57952,-97
2021-09-26 19:54:08,1,57952,-98
2021-09-26 19:54:09,1,57952,-93
2021-09-26 19:54:11,1,57952,-94
2021-09-26 19:54:12,1,57952,-99
2021-09-26 19:54:13,1,57952,-89
2021-09-26 19:54:15,1,57952,-102
2021-09-26 19:54:16,1,57952,-99
2021-09-26 19:54:20,1,57952,-91
2021-09-26 19:54:21,1,57952,-102
2021-09-26 19:54:22,1,57952,-94
2021-09-26 19:54:24,1,57952,-87
2021-09-26 19:54:25,1,57952,-98
2021-09-26 19:54:31,1,57952,-100
2021-09-26 19:54:32,1,57952,-81
2021-09-26 19:54:33,1,57952,-97
2021-09-26 19:54:37,1,57952,-98
2021-09-26 19:54:38,1,57952,-89
2021-09-26 19:54:40,1,57952,-100
2021-09-26 19:54:41,1,57952,-104
2021-09-26 19:54:43,1,57952,-106
2021-09-26 19:54:44,1,57952,-103
2021-09-26 19:54:45,1,57952,-96
2021-09-26 19:54:46,1,57952,-100
2021-09-26 19:54:50,1,57952,-105
2021-09-26 19:54:52,1,57952,-90
2021-09-26 19:54:55,1,57952,-88
2021-09-26 19:54:56,1,57952,-97
2021-09-26 19:54:57,1,57952,-96
2021-09-26 19:55:12,1,57952,-98
2021-09-26 19:55:14,1,57952,-99
2021-09-26 19:55:16,1,57952,-98
2021-09-26 19:55:17,1,57952,-105
2021-09-26 19:55:20,1,57952,-104
2021-09-26 19:55:21,1,57952,-101
2021-09-26 19:55:25,1,57952,-97
2021-09-26 19:55:26,1,57952,-107
2021-09-26 19:55:28,1,57952,-107
2021-09-26 19:55:32,1,57952,-90
2021-09-26 19:55:33,1,57952,-96
2021-09-26 19:55:35,1,57952,-101
2021-09-26 19:55:40,1,57952,-97
2021-09-26 19:55:41,1,57952,-94
2021-09-26 19:55:42,1,57952,-95
2021-09-26 19:55:44,1,57952,-105
2021-09-26 19:55:45,1,57952,-100
2021-09-26 19:55:46,1,57952,-104
2021-09-26 19:55:47,1,57952,-104
2021-09-26 19:55:50,1,57952,-104
2021-09-26 19:55:51,1,57952,-106
2021-09-26 19:55:53,1,57952,-98
2021-09-26 19:55:54,1,57952,-105
2021-09-26 19:55:56,1,57952,-97
2021-09-26 19:55:57,1,57952,-99
2021-09-26 19:55:58,1,57952,-104
2021-09-26 19:55:59,1,57952,-104
2021-09-26 19:56:01,1,57952,-103
2021-09-26 19:56:02,1,57952,-96
2021-09-26 19:56:03,1,57952,-105
2021-09-26 19:56:05,1,57952,-104
2021-09-26 19:56:08,1,57952,-91
2021-09-26 19:56:09,1,57952,-91
2021-09-26 19:56:10,1,57952,-95
2021-09-26 19:56:11,1,57952,-97
2021-09-26 19:56:13,1,57952,-92
2021-09-26 19:56:14,1,57952,-104
2021-09-26 19:56:15,1,57952,-97
2021-09-26 19:56:18,1,57952,-101
2021-09-26 19:56:18,3,57952,-99
2021-09-26 19:56:19,1,57952,-94
2021-09-26 19:56:21,1,57952,-105
2021-09-26 19:56:22,1,57952,-104
2021-09-26 19:56:23,1,57952,-92
2021-09-26 19:56:25,1,57952,-93
2021-09-26 19:56:26,1,57952,-90
2021-09-26 19:56:27,1,57952,-96
2021-09-26 19:56:29,1,57952,-86
2021-09-26 19:56:30,1,57952,-99
2021-09-26 19:56:31,1,57952,-102
2021-09-26 19:56:33,1,57952,-94
2021-09-26 19:56:34,1,57952,-98
2021-09-26 19:56:35,1,57952,-101
2021-09-26 19:56:37,1,57952,-103
2021-09-26 19:56:38,1,57952,-102
2021-09-26 19:56:39,1,57952,-96
2021-09-26 19:56:39,3,57952,-98
2021-09-26 19:56:41,1,57952,-103
2021-09-26 19:56:42,1,57952,-100
2021-09-26 19:56:43,1,57952,-97
2021-09-26 19:56:45,1,57952,-102
2021-09-26 19:56:46,1,57952,-98
2021-09-26 19:56:47,1,57952,-100
2021-09-26 19:56:48,1,57952,-101
2021-09-26 19:56:50,1,57952,-97
2021-09-26 19:56:51,1,57952,-95
2021-09-26 19:56:53,1,57952,-93
2021-09-26 19:56:54,1,57952,-102
2021-09-26 19:56:55,1,57952,-97
2021-09-26 19:56:57,1,57952,-94
2021-09-26 19:56:58,1,57952,-103
2021-09-26 19:56:59,1,57952,-101
2021-09-26 19:57:00,1,57952,-101
2021-09-26 19:57:02,1,57952,-105
2021-09-26 19:57:03,1,57952,-104
2021-09-26 19:57:05,1,57952,-93
2021-09-26 19:57:06,3,57952,-99
2021-09-26 19:57:06,1,57952,-103
2021-09-26 19:57:07,1,57952,-101
2021-09-26 19:57:07,3,57952,-106
2021-09-26 19:57:09,1,57952,-99
2021-09-26 19:57:10,1,57952,-95
2021-09-26 19:57:11,1,57952,-99
2021-09-26 19:57:12,1,57952,-104
2021-09-26 19:57:14,1,57952,-96
2021-09-26 19:57:15,3,57952,-108
2021-09-26 19:57:15,1,57952,-104
2021-09-26 19:57:16,3,57952,-95
2021-09-26 19:57:16,1,57952,-87
2021-09-26 19:57:18,1,57952,-95
2021-09-26 19:57:19,1,57952,-97
2021-09-26 19:57:21,3,57952,-102
2021-09-26 19:57:21,1,57952,-96
2021-09-26 19:57:22,1,57952,-98
2021-09-26 19:57:23,1,57952,-91
2021-09-26 19:57:24,3,57952,-106
2021-09-26 19:57:24,1,57952,-98
2021-09-26 19:57:26,1,57952,-86
2021-09-26 19:57:26,3,57952,-92
2021-09-26 19:57:27,1,57952,-98
2021-09-26 19:57:27,3,57952,-104
2021-09-26 19:57:28,1,57952,-97
2021-09-26 19:57:28,3,57952,-102
2021-09-26 19:57:30,3,57952,-106
2021-09-26 19:57:30,1,57952,-101
2021-09-26 19:57:31,3,57952,-105
2021-09-26 19:57:31,1,57952,-101
2021-09-26 19:57:32,1,57952,-101
2021-09-26 19:57:32,3,57952,-99
2021-09-26 19:57:34,1,57952,-101
2021-09-26 19:57:34,3,57952,-106
2021-09-26 19:57:35,3,57952,-101
2021-09-26 19:57:35,1,57952,-102
2021-09-26 19:57:38,1,57952,-101
2021-09-26 19:57:38,3,57952,-101
2021-09-26 19:57:39,1,57952,-92
2021-09-26 19:57:39,3,57952,-105
2021-09-26 19:57:40,1,57952,-99
2021-09-26 19:57:40,3,57952,-105
2021-09-26 19:57:42,3,57952,-105
2021-09-26 19:57:42,1,57952,-101
2021-09-26 19:57:43,1,57952,-97
2021-09-26 19:57:43,3,57952,-102
2021-09-26 19:57:44,3,57952,-105
